IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150098919,RECOVERED VEHICLE,"VEHICLE, RECOVERED, AUTO",Sunday,02-01-15,19:53,TENDERLOIN,JUVENILE BOOKED,MCALLISTER ST / LEAVENWORTH ST,-122.4136794,37.78092583,"(37.7809258336852, -122.413679376888)",1.50099E+13
150098919,OTHER OFFENSES,CONTRIBUTING TO THE DELINQUENCY OF MINOR,Sunday,02-01-15,19:53,TENDERLOIN,JUVENILE BOOKED,MCALLISTER ST / LEAVENWORTH ST,-122.4136794,37.78092583,"(37.7809258336852, -122.413679376888)",1.50099E+13
150098919,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,02-01-15,19:53,TENDERLOIN,JUVENILE BOOKED,MCALLISTER ST / LEAVENWORTH ST,-122.4136794,37.78092583,"(37.7809258336852, -122.413679376888)",1.50099E+13
150098925,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,02-01-15,19:35,RICHMOND,"ARREST, BOOKED",6300 Block of GEARY BL,-122.4874293,37.78008941,"(37.7800894126441, -122.487429256289)",1.50099E+13
150098931,MISSING PERSON,MISSING ADULT,Thursday,01/29/2015,12:00,CENTRAL,NONE,600 Block of CLAY ST,-122.4039949,37.79461182,"(37.794611817992, -122.403994862674)",1.50099E+13
150098947,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,02-01-15,20:00,MISSION,"ARREST, BOOKED",3400 Block of 16TH ST,-122.4304948,37.76434186,"(37.7643418581632, -122.430494795393)",1.50099E+13
150098947,ASSAULT,THREATENING SCHOOL OR PUBLIC EMPLOYEE,Sunday,02-01-15,20:00,MISSION,"ARREST, BOOKED",3400 Block of 16TH ST,-122.4304948,37.76434186,"(37.7643418581632, -122.430494795393)",1.50099E+13
150098947,OTHER OFFENSES,RESISTING ARREST,Sunday,02-01-15,20:00,MISSION,"ARREST, BOOKED",3400 Block of 16TH ST,-122.4304948,37.76434186,"(37.7643418581632, -122.430494795393)",1.50099E+13
150098947,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,02-01-15,20:00,MISSION,"ARREST, BOOKED",3400 Block of 16TH ST,-122.4304948,37.76434186,"(37.7643418581632, -122.430494795393)",1.50099E+13
150098953,ASSAULT,BATTERY,Sunday,02-01-15,20:15,INGLESIDE,"ARREST, BOOKED",1000 Block of GOETTINGEN ST,-122.4032496,37.71906997,"(37.7190699683467, -122.403249637246)",1.50099E+13
150098969,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,02-01-15,20:30,BAYVIEW,NONE,PALOU AV / QUINT ST,-122.3965167,37.73715647,"(37.7371564713337, -122.396516726913)",1.50099E+13
150098975,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,02-01-15,20:26,BAYVIEW,NONE,1300 Block of REVERE AV,-122.3855455,37.72897973,"(37.728979731984, -122.385545453301)",1.50099E+13
150098981,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,02-01-15,19:00,MISSION,NONE,2900 Block of 16TH ST,-122.4192025,37.76502443,"(37.7650244301204, -122.41920245941)",1.50099E+13
150098997,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Sunday,02-01-15,20:35,SOUTHERN,NONE,700 Block of MARKET ST,-122.4039191,37.7871161,"(37.7871160984672, -122.403919148357)",1.50099E+13
